ticket_no,flight_id,boarding_no,seat_no
5435652263,1654,9,5E
5435652260,1654,10,6D
5435652264,1654,11,6F
5435652278,1654,12,7A
5435652266,1654,13,7D
5435652272,1654,14,7F
5435652250,1654,15,8A
5435652254,1654,16,8C
5435652268,1654,17,8E
5435652253,1654,18,9C
5435652279,1654,19,9D
5435652276,1654,20,9E
5435652251,1654,21,10A
5435652273,1654,22,10C
5435652252,1654,23,11A
5435652295,1654,24,11C
5435652284,1654,25,11D
5435652259,1654,26,11E
5435652265,1654,27,12C
5435652262,1654,28,12D
5435652267,1654,29,12E
5435652280,1654,30,13A
5435652294,1654,31,13C
5435652296,1654,32,13D
5435652257,1654,33,13E
5435652288,1654,34,14C
5435652271,1654,35,14D
5435652285,1654,36,15D
5435652258,1654,37,15E
5435652286,1654,38,15F
5435652291,1654,39,16A
5435652293,1654,40,16E
5435652256,1654,41,16D
5435652270,1654,42,17C
5435652289,1654,43,18C
5435652287,1654,44,18D
5435652290,1654,45,19E
5435652277,1654,46,19F
5435652255,1654,47,20D
5433367257,21707,1,1C
5433367244,21707,2,1D
5433367258,21707,3,1F
5433367221,21707,4,2F
5433367224,21707,5,4A
5433367218,21707,6,4D
5433367240,21707,7,4E
5433367222,21707,8,6D
5433367227,21707,9,6E
5433367252,21707,10,6F
5433367256,21707,11,7C
5433367245,21707,12,7F
5433367247,21707,13,8A
5433367248,21707,14,8D
5433367251,21707,15,8E
5433367235,21707,16,9E
5433367246,21707,17,10A
5433367237,21707,18,10C
5433367242,21707,19,10D
5433367241,21707,20,10E
5433367234,21707,21,10F
5433367253,21707,22,11D
5433367250,21707,23,11F
5433367255,21707,24,13D
5433367231,21707,25,13E
5433367228,21707,26,14D
5433367220,21707,27,14E
5433367238,21707,28,15A
5433367219,21707,29,15D
5433367225,21707,30,16A
5433367226,21707,31,16C
5433367236,21707,32,16D
5433367230,21707,33,17A
5433367254,21707,34,17C
5433367239,21707,35,18F
5433367229,21707,36,19A
5433367232,21707,37,19C
5433367233,21707,38,19D
5433367249,21707,39,19E
5433367243,21707,40,20A
5433367223,21707,41,20D
5433985127,4135,1,1D
5433985129,4135,2,1F
5433985123,4135,3,2A
5433985126,4135,4,2C
5433985160,4135,5,2F
5435788725,4135,6,3A
5433985140,4135,7,3D
5433985155,4135,8,3F
5433985137,4135,9,4A
5433985159,4135,10,4E
5433985125,4135,11,5A
5433985154,4135,12,5D
5433985161,4135,13,5E
5433985122,4135,14,5F
5433985136,4135,15,7D
5433985148,4135,16,8A
5433985143,4135,17,8E
5433985131,4135,18,9A
5433985133,4135,19,9C
5433985158,4135,20,9D
5433985141,4135,21,10A
5433985134,4135,22,10D
5433985139,4135,23,10F
5435788726,4135,24,11A
5433985145,4135,25,11E
5433985152,4135,26,12A
5433985144,4135,27,12C
5433985147,4135,28,12F
5433985146,4135,29,13A
5435788727,4135,30,13C
5433985124,4135,31,13D
5435788728,4135,32,13E
5433985153,4135,33,14A
5433985156,4135,34,14D
5433985130,4135,35,14E
5433985150,4135,36,17A
5433985132,4135,37,17D
5433985151,4135,38,17E
5433985157,4135,39,18F
5433985135,4135,40,19A
5433985142,4135,41,19E
5433985128,4135,42,19F
5433985149,4135,43,20D
5433985138,4135,44,20E
5433168301,21332,1,3B
5433168299,21332,2,3D
5433168302,21332,3,6C
5433168300,21332,4,20A
5432869415,17856,1,3F
5432869416,17856,2,8F
5432869413,17856,3,9A
5434151654,17856,4,12D
5434151656,17856,5,18E
5432869412,17856,6,19D
5434151655,17856,7,20C
5432869414,17856,8,20F
5432327913,3108,1,1D
5432327892,3108,2,2D
5432327911,3108,3,2F
5432327914,3108,4,3F
5432287105,3108,5,4D
5432287101,3108,6,4F
5432287104,3108,7,4E
5432327915,3108,8,5C
5432327904,3108,9,5E
5432327907,3108,10,5F
5432327925,3108,11,6A
5432327930,3108,12,6C
5432327894,3108,13,6D
5432287100,3108,14,6E
5433438767,3108,15,6F
5432327931,3108,16,7A
5432327923,3108,17,7C
5432327898,3108,18,7D
5432327920,3108,19,7E
5432327928,3108,20,8A
5432327893,3108,21,8C
5432327921,3108,22,8E
5432327934,3108,23,8F
5432327912,3108,24,9A
5432327901,3108,25,9C
5432327929,3108,26,9F
5432327932,3108,27,10A
5432287099,3108,28,10C
5432327924,3108,29,10D
5432327903,3108,30,10F
5433438765,3108,31,11C
5432327890,3108,32,11E
5432327896,3108,33,11F
5433438764,3108,34,12A
5433438763,3108,35,12C
5432327917,3108,36,12D
5432327906,3108,37,13A
5432327910,3108,38,13C
5432287103,3108,39,13D
5432327919,3108,40,13E
5432327895,3108,41,13F
5432327926,3108,42,14C
5432327899,3108,43,14D
5432327902,3108,44,14E
5432327897,3108,45,15A
5432327909,3108,46,15C
5432287102,3108,47,16D
5433438766,3108,48,17A
5432327937,3108,49,17C
5432327891,3108,50,17E
5432327922,3108,51,17F
5432327905,3108,52,18C
5432327935,3108,53,18D
5432327900,3108,54,18F
5432327927,3108,55,19A
5432327936,3108,56,19C
5432327918,3108,57,19D
5432327908,3108,58,20A
5432327916,3108,59,20D
5432327933,3108,60,20F
5432905025,31103,1,3F
5432054254,31103,2,4C
5432905022,31103,3,7E
5432905024,31103,4,11E
5432905023,31103,5,12E
5432054252,31103,6,13C
5432905019,31103,7,13F
5432905020,31103,8,14D
5432905021,31103,9,15C
5432054253,31103,10,19C
5434309500,6223,1,1A
5434309510,6223,2,1D
5432146164,6223,3,2D
5434309502,6223,4,3F
5435998953,6223,5,5C
5435998957,6223,6,5E
5434309511,6223,7,6C
5435998963,6223,8,6E
5434309508,6223,9,7A
5434309506,6223,10,7C
5435998956,6223,11,8C
5435998965,6223,12,9E
5434309509,6223,13,10B
5435998964,6223,14,11E
5435998952,6223,15,11F
5435998959,6223,16,12F
5434309501,6223,17,13E
5435998962,6223,18,14A
5434309513,6223,19,14C
5434309512,6223,20,14D
5435998958,6223,21,16A
5435998954,6223,22,17C
5432146163,6223,23,18A
5435998966,6223,24,18C
5435998961,6223,25,18E
5434309505,6223,26,18F
5435998960,6223,27,19A
5434309507,6223,28,19E
5434309503,6223,29,19F
5435998967,6223,30,20A
5434309504,6223,31,20E
5432146165,6223,32,21B
5435998955,6223,33,23A
5435998951,6223,34,23E
5435296942,19528,1,1D
5435296939,19528,2,2F
5435296941,19528,3,7A
5435296938,19528,4,7D
5435296943,19528,5,7F
5435296940,19528,6,16E
5433158094,17534,1,21B
5433158093,17534,2,22B
5435501945,1567,1,1A
5435508176,1567,2,1C
5435501931,1567,3,1F
5434565681,1567,4,2C
5435501933,1567,5,2D
5434565690,1567,6,3C
5435517599,1567,7,3D
5435508167,1567,8,3F
5435501932,1567,9,4A
5435501936,1567,10,4C
5435501950,1567,11,4D
5434565688,1567,12,5A
5435517590,1567,13,5D
5435517605,1567,14,5F
5435508174,1567,15,6C
5435501947,1567,16,6D
5432291890,1567,17,6E
5435508166,1567,18,6F
5435501941,1567,19,7A
5434565686,1567,20,7C
5435517602,1567,21,7D
5435517591,1567,22,7E
5434565678,1567,23,7F
5435517595,1567,24,8A
5435501937,1567,25,8D
5435508164,1567,26,8E
5434565684,1567,27,8F
5435501943,1567,28,9A
5434565687,1567,29,9E
5435517604,1567,30,9F
5435501948,1567,31,10A
5435517596,1567,32,10D
5435501946,1567,33,10E
5435517603,1567,34,11A
5432291889,1567,35,11C
5435517594,1567,36,11D
5435508173,1567,37,11E
5435501944,1567,38,11F
5434565679,1567,39,12A
5435508171,1567,40,12C
5435517600,1567,41,12D
5434565682,1567,42,12E
5435508170,1567,43,13A
5435501952,1567,44,13C
5435501935,1567,45,13D
5435508165,1567,46,13E
5435501938,1567,47,13F
5435508175,1567,48,14A
5434565689,1567,49,14C
5435517585,1567,50,14D
5435517601,1567,51,14E
5435517587,1567,52,15A
5435501949,1567,53,14F
5435517598,1567,54,15C
5434565691,1567,55,15D
5435517589,1567,56,15E
5435508168,1567,57,15F
5435517588,1567,58,16C
5435501940,1567,59,16F
5435501951,1567,60,17A
5434565677,1567,61,17C
5434565685,1567,62,17E
5435517592,1567,63,18A
5435501942,1567,64,18C
5434565683,1567,65,18D
5435517597,1567,66,18E
5435501934,1567,67,18F
5435508169,1567,68,19C
5435517593,1567,69,19D
5435517586,1567,70,19F
5435501939,1567,71,20A
5435517606,1567,72,20D
5434565680,1567,73,20E
5435508172,1567,74,20F
5433185971,20846,1,2A
5433185974,20846,2,3A
5433185975,20846,3,4D
5433185970,20846,4,5C
5433185968,20846,5,6F
5433185969,20846,6,7E
5433185973,20846,7,18C
5433185972,20846,8,20F
5435153627,3925,1,1B
5435153628,3925,2,2D
5435153626,3925,3,3B
5435153631,3925,4,7C
5435153629,3925,5,18D
5435153630,3925,6,20D
5435931536,21848,1,6C
5435931538,21848,2,18C
5435931537,21848,3,22D
5432628586,7226,1,1A
5432628591,7226,2,2D
5432628592,7226,3,3D
5432628588,7226,4,4B
5432628593,7226,5,4D
5432628595,7226,6,5C
5432628596,7226,7,5D
5432628597,7226,8,6A
5432628599,7226,9,18A
5432628594,7226,10,19A
5432628589,7226,11,20A
5432628590,7226,12,20C
5432628585,7226,13,21A
5432628598,7226,14,21B
5432628587,7226,15,22C
5435225447,28100,1,2A
5435225445,28100,2,18D
5435225446,28100,3,19A
5435225449,28100,4,20D
5435225444,28100,5,21A
5435225443,28100,6,22A
5435225448,28100,7,22B
5435959984,8719,1,6C
5435959983,8719,2,7C
5435959985,8719,3,18A
5435959982,8719,4,20A
5434267884,15264,1,2A
5434267885,15264,2,3B
5434267886,15264,3,5A
5432674869,1214,1,2A
5432674874,1214,2,2F
5432674868,1214,3,3C
5432674866,1214,4,3F
5432674876,1214,5,4C
5432674865,1214,6,5A
5432674875,1214,7,7D
5432674873,1214,8,8C
5432674872,1214,9,10A
5432674867,1214,10,14F
5432674871,1214,11,17E
5432674863,1214,12,18F
5432674870,1214,13,19B
5432674877,1214,14,19F
5432674864,1214,15,20B
5432873167,17509,1,3D
5432873168,17509,2,3C
5432873172,17509,3,5A
5432873165,17509,4,7A
5432873171,17509,5,7F
5432873166,17509,6,10D
5432873173,17509,7,14C
5432873169,17509,8,17C
5432873170,17509,9,20D
5434434912,1127,1,2A
5434434913,1127,2,2B
5434434915,1127,3,3C
5434434918,1127,4,3D
5434434919,1127,5,4C
5434434922,1127,6,5B
5434434924,1127,7,5C
5434434910,1127,8,7B
5434434914,1127,9,18B
5434434909,1127,10,19C
5434434921,1127,11,19D
5434434911,1127,12,20D
5434434920,1127,13,21B
5434434916,1127,14,21C
5434434917,1127,15,22A
5434434923,1127,16,22D
5433156598,17301,1,1C
5433156599,17301,2,2B
5433156605,17301,3,3D
5433156604,17301,4,4A
5433156597,17301,5,4C
5433156603,17301,6,20A
5433156600,17301,7,21D
5433156602,17301,8,22C
5433156601,17301,9,22D
5435086706,4103,1,2D
5435086702,4103,2,3A
5435086704,4103,3,5A
5435086703,4103,4,19D
5435086701,4103,5,21C
5435086705,4103,6,22B
5435086700,4103,7,22D
5435928060,24384,1,1B
5435928061,24384,2,2D
5435928057,24384,3,3A
5435928059,24384,4,7B
5435928058,24384,5,19A
5435551493,17003,1,3F
5435551492,17003,2,4A
5435551491,17003,3,4G
5435098522,17003,4,13F
5435098521,17003,5,14H
5435551490,17003,6,20F
5434625797,4822,1,4D
5434625796,4822,2,6D
5434625798,4822,3,8A
5434625793,4822,4,10E
5434625802,4822,5,11D
5434625799,4822,6,12F
5434625794,4822,7,14F
5434625801,4822,8,19A
5434625795,4822,9,19F
5434625800,4822,10,20C
5435907416,32920,1,1D
5435907418,32920,2,5F
5433194818,32920,3,9E
5435907417,32920,4,11A
5433194819,32920,5,11F
5435907419,32920,6,13E
5435907420,32920,7,15F
5433194817,32920,8,19F
5432195657,13777,1,2D
5432195655,13777,2,3C
5435937312,13777,3,5A
5435937307,13777,4,5D
5435937313,13777,5,18B
5435937310,13777,6,18D
5435937306,13777,7,19A
5432195656,13777,8,19B
5435937308,13777,9,19D
5435937309,13777,10,20A
5435937305,13777,11,21A
5435937311,13777,12,22A
5435310836,20272,1,1F
5435310855,20272,2,2A
5435310841,20272,3,2C
5435310846,20272,4,3C
5435310848,20272,5,3D
5435310840,20272,6,4F
5435310854,20272,7,6D
5432058315,20272,8,7E
5435310851,20272,9,8D
5435310849,20272,10,9A
5435310847,20272,11,9C
5432058313,20272,12,11F
5435310844,20272,13,12E
5435310842,20272,14,14D
5435310839,20272,15,14F
5435310845,20272,16,15E
5435310852,20272,17,15F
5435310838,20272,18,16D
5435310837,20272,19,16F
5435310853,20272,20,17E
5435310843,20272,21,17F
5435310850,20272,22,18F
5432058314,20272,23,19A
5432058312,20272,24,20F
5434406641,26958,1,1A
5432153814,26958,2,1C
5434406650,26958,3,1D
5434406669,26958,4,2C
5434406689,26958,5,2D
5434406685,26958,6,2F
5434406643,26958,7,3A
5434406668,26958,8,3C
5434406665,26958,9,3D
5434406695,26958,10,3F
5432153813,26958,11,4C
5434406651,26958,12,4E
5434406654,26958,13,4F
5434406642,26958,14,5A
5434406683,26958,15,5C
5432153815,26958,16,5D
5434406649,26958,17,5E
5434406646,26958,18,6A
5434406701,26958,19,6C
5432153817,26958,20,6F
5434406678,26958,21,7A
5434406690,26958,22,7D
5434406667,26958,23,7E
5434406658,26958,24,7F
5434406679,26958,25,8A
5434406674,26958,26,8C
5434406639,26958,27,8F
5434406673,26958,28,9A
5434406691,26958,29,9C
5434406700,26958,30,9E
5434406656,26958,31,10A
5434406692,26958,32,10F
5434406681,26958,33,11A
5434406666,26958,34,11C
5434406640,26958,35,11D
5434406682,26958,36,11E
5434406670,26958,37,11F
5434406661,26958,38,12C
5434406698,26958,39,12D
5434406662,26958,40,12E
5434406676,26958,41,12F
5434406696,26958,42,13A
5434406653,26958,43,13D
5434406652,26958,44,13E
5434406687,26958,45,14D
5434406677,26958,46,14F
5434406645,26958,47,15C
5434406680,26958,48,15D
5434406693,26958,49,15E
5434406644,26958,50,15F
5432153819,26958,51,16A
5434406659,26958,52,16C
5434406664,26958,53,16D
5434406660,26958,54,16E
5434406655,26958,55,16F
5434406657,26958,56,17A
5434406699,26958,57,17C
5434406671,26958,58,17D
5434406675,26958,59,17F
5434406647,26958,60,18C
5434406686,26958,61,18D
5434406684,26958,62,18E
5434406663,26958,63,18F
5434406697,26958,64,19A
5434406648,26958,65,19C
5432153818,26958,66,19D
5434406672,26958,67,20C
5432153816,26958,68,20D
5434406694,26958,69,20E
5434406688,26958,70,20F
5434319150,5671,1,2D
5434319142,5671,2,4F
5434319149,5671,3,6F
5434311182,5671,4,7F
5432109655,5671,5,8D
5432109656,5671,6,10E
5434319144,5671,7,10F
5434319148,5671,8,11F
5434319143,5671,9,12C
5434319141,5671,10,13E
5434319147,5671,11,14F
5434319145,5671,12,16D
5434311181,5671,13,16E
5434319146,5671,14,18E
5433123577,15695,1,2C
5433123582,15695,2,2F
5433123571,15695,3,4A
5433123580,15695,4,4C
5433123578,15695,5,6C
5433123566,15695,6,7C
5433123573,15695,7,8C
5433123574,15695,8,11C
5433123586,15695,9,11D
5433123587,15695,10,11E
5433123569,15695,11,12C
5433123568,15695,12,12D
5433123575,15695,13,13A
5433123584,15695,14,13F
5433123567,15695,15,14A
5433123565,15695,16,15A
5433123570,15695,17,15C
5433123585,15695,18,15E
5433123583,15695,19,16A
5433123579,15695,20,17F
5433123572,15695,21,18F
5433123581,15695,22,20E
5433123576,15695,23,20F
5435219165,31748,1,3C
5435220283,31748,2,21D
5435220284,31748,3,22D
5434484235,9001,1,2B
5434484231,9001,2,4B
5434484237,9001,3,4D
5434484234,9001,4,6B
5434484236,9001,5,6C
5434484232,9001,6,18B
5434484233,9001,7,21B
5434189075,16620,1,4B
5434189079,16620,2,6A
5434189076,16620,3,20C
5434189077,16620,4,20D
5434189078,16620,5,21A
5434189080,16620,6,22B
5433123582,7571,1,1C
5433123572,7571,2,2F
5433123565,7571,3,3C
5433123574,7571,4,4A
5433123570,7571,5,4C
5433123583,7571,6,4F
5433123581,7571,7,5F
5433123573,7571,8,7F
5433123580,7571,9,8D
5433123566,7571,10,10C
5433123576,7571,11,11E
5433123567,7571,12,13D
5433123584,7571,13,14D
5433123586,7571,14,15D
5433123587,7571,15,16A
5433123579,7571,16,17A
5433123585,7571,17,17D
5433123578,7571,18,17F
5433123577,7571,19,19C
5433123575,7571,20,19E
5433123569,7571,21,19F
5433123568,7571,22,20A
5433123571,7571,23,20D
5432720450,7572,1,1C
5432692555,7572,2,1D
5432692532,7572,3,1F
5432720453,7572,4,2A
5432720446,7572,5,2C
5432692535,7572,6,2F
5432720452,7572,7,3D
5433449584,7572,8,3F
5432720442,7572,9,4A
5432720448,7572,10,4C
5432720447,7572,11,4D
5432720455,7572,12,4E
5433449583,7572,13,4F
5432720435,7572,14,5A
5432692528,7572,15,5C
5432692539,7572,16,5D
5432720433,7572,17,5E
5432692547,7572,18,5F
5432720444,7572,19,6A
5432692527,7572,20,6C
5433449590,7572,21,6D
5432692536,7572,22,6E
5433449604,7572,23,6F
5432720445,7572,24,7A
5432692552,7572,25,7C
5432692542,7572,26,7D
5432692545,7572,27,7E
5432720440,7572,28,7F
5433449595,7572,29,8A
5432720429,7572,30,8C
5432720454,7572,31,8D
5432692534,7572,32,8E
5432692529,7572,33,8F
5432692541,7572,34,9A
5432071520,7572,35,9C
5432720451,7572,36,9D
5433449588,7572,37,9E
5433449601,7572,38,9F
5432720430,7572,39,10A
5432720437,7572,40,10C
5432720439,7572,41,10D
5432071522,7572,42,10F
5433449593,7572,43,11A
5433449586,7572,44,11C
5432692543,7572,45,11D
5432720436,7572,46,11E
5432720449,7572,47,11F
5432720434,7572,48,12A
5433449592,7572,49,12C
5432692549,7572,50,12D
5432692557,7572,51,12E
5433449599,7572,52,13A
5433449591,7572,53,13C
5432692553,7572,54,13D
5432720443,7572,55,13E
5432071521,7572,56,13F
5432720428,7572,57,14A
5432692537,7572,58,14C
5432720438,7572,59,14E
5432692551,7572,60,15D
5432692540,7572,61,15C
5433449597,7572,62,15E
5432692546,7572,63,15F
5432692530,7572,64,16A
5432692554,7572,65,16C
5432692550,7572,66,16D
5433449598,7572,67,16E
5432720432,7572,68,16F
