book_ref,book_date,total_amount
000AB3,2017-08-12 06:16:00+03,35400
000ADA,2017-07-19 12:06:00+03,124200
000B77,2017-07-01 02:39:00+03,68800
000B91,2017-07-30 13:41:00+03,24400
000B97,2017-07-20 20:32:00+03,101200
000BB3,2017-07-07 12:07:00+03,92800
000BD8,2017-08-04 19:12:00+03,51200
000BFF,2017-08-08 23:05:00+03,136800
000C28,2017-07-20 09:04:00+03,28800
000C2B,2017-07-28 04:52:00+03,28000
000D3C,2017-07-02 18:23:00+03,173500
000DBE,2017-07-07 10:20:00+03,149200
000DC5,2017-07-24 17:41:00+03,75800
0.00E+00,2017-07-19 05:19:00+03,53200
000E3A,2017-07-15 20:45:00+03,67600
000EA2,2017-08-14 17:35:00+03,54800
000EFA,2017-08-12 22:01:00+03,23600
000F07,2017-08-01 06:15:00+03,40300
000F74,2017-07-11 22:20:00+03,66600
000F7D,2017-08-02 09:18:00+03,20600
000FAC,2017-07-09 18:30:00+03,168600
000FD6,2017-07-29 01:48:00+03,28700
00101D,2017-08-11 21:38:00+03,112400
00107C,2017-08-10 23:15:00+03,56000
1089,2017-08-10 18:47:00+03,46300
00111B,2017-07-09 14:30:00+03,29600
00114E,2017-08-01 12:17:00+03,6700
1164,2017-08-15 13:56:00+03,72400
1184,2017-07-27 15:00:00+03,38400
1191,2017-07-16 22:54:00+03,66600
0011A9,2017-07-31 02:22:00+03,135400
1233,2017-08-11 23:09:00+03,47000
1269,2017-07-06 02:07:00+03,30000
1273,2017-08-01 00:26:00+03,117900
00127A,2017-07-18 18:37:00+03,98000
0012C1,2017-07-05 05:43:00+03,26000
1.20E+04,2017-07-24 06:07:00+03,125700
00132C,2017-07-10 19:59:00+03,12600
00133E,2017-07-19 12:28:00+03,271100
00138A,2017-07-04 12:52:00+03,372500
1436,2017-07-01 14:10:00+03,101200
00144F,2017-07-20 08:06:00+03,94700
0014C1,2017-08-01 19:11:00+03,44000
1.40E+04,2017-07-08 03:11:00+03,16000
00150A,2017-08-08 19:16:00+03,36800
1547,2017-07-22 14:19:00+03,52000
1628,2017-07-15 10:59:00+03,813300
0016AD,2017-08-09 03:47:00+03,55100
0016BD,2017-07-16 01:27:00+03,59300
0016CB,2017-07-17 20:15:00+03,98400
0016D0,2017-07-11 02:12:00+03,52000
0016DE,2017-07-14 03:31:00+03,203400
1740,2017-08-09 02:04:00+03,73200
1751,2017-08-06 13:46:00+03,81300
00176F,2017-08-15 16:46:00+03,55800
1789,2017-07-19 11:40:00+03,43400
00178F,2017-07-10 07:13:00+03,26000
1820,2017-07-15 07:11:00+03,49500
1892,2017-08-11 16:13:00+03,6700
0018AB,2017-08-03 03:29:00+03,277600
1.80E+06,2017-08-04 19:02:00+03,67200
1932,2017-08-15 13:22:00+03,13200
00193F,2017-07-17 00:15:00+03,55800
0019EB,2017-08-12 00:09:00+03,39100
001A23,2017-07-18 03:30:00+03,87100
001A4A,2017-08-02 04:31:00+03,35900
001A6E,2017-07-03 18:06:00+03,21200
001A9F,2017-07-01 11:29:00+03,55800
001B68,2017-08-10 19:19:00+03,69700
001C10,2017-07-14 17:36:00+03,25200
001C4B,2017-07-28 01:57:00+03,28000
001C89,2017-07-14 07:41:00+03,42700
001D91,2017-07-07 00:05:00+03,14600
001D96,2017-08-11 12:24:00+03,57200
001D9D,2017-08-14 08:43:00+03,26800
1.00E+66,2017-07-06 21:54:00+03,25800
1.00E+72,2017-08-10 12:48:00+03,19600
1.00E+92,2017-07-13 20:36:00+03,45100
001EA0,2017-08-12 10:31:00+03,18400
001ED4,2017-07-01 10:52:00+03,56000
001F08,2017-07-26 17:20:00+03,12700
001F1D,2017-08-06 14:49:00+03,29600
001F27,2017-08-03 19:10:00+03,39700
001FA1,2017-07-17 14:28:00+03,33000
001FA7,2017-08-02 00:02:00+03,73200
001FF3,2017-07-23 22:34:00+03,542200
2160,2017-07-06 18:02:00+03,31900
00216F,2017-07-01 16:24:00+03,47200
00218C,2017-07-07 19:39:00+03,17000
2193,2017-08-10 02:45:00+03,28000
0021AA,2017-08-13 12:52:00+03,45100
2284,2017-08-05 10:54:00+03,266400
2289,2017-07-07 10:50:00+03,123000
00229F,2017-08-12 14:42:00+03,58200
0022B4,2017-08-13 19:32:00+03,245300
2316,2017-08-15 07:31:00+03,257500
2365,2017-07-26 09:58:00+03,20200
00236B,2017-07-16 21:01:00+03,23400
2371,2017-08-10 02:52:00+03,19200
00239A,2017-07-02 02:23:00+03,42700
00240A,2017-08-05 10:49:00+03,58800
2427,2017-07-03 10:17:00+03,23400
0024CD,2017-07-23 22:51:00+03,8200
00255C,2017-08-01 01:44:00+03,77600
0025F1,2017-07-10 15:15:00+03,75600
0026F8,2017-06-25 21:15:00+03,58200
2705,2017-07-12 02:33:00+03,68900
2746,2017-07-17 21:07:00+03,230400
00274A,2017-07-23 17:10:00+03,22000
2752,2017-07-29 03:51:00+03,147100
2775,2017-08-04 21:16:00+03,96200
2822,2017-08-04 13:53:00+03,24800
2865,2017-07-26 15:41:00+03,31400
00287A,2017-07-04 11:08:00+03,72400
00297D,2017-08-08 23:19:00+03,25000
0029AE,2017-07-23 15:13:00+03,24800
0029C1,2017-07-08 02:22:00+03,56000
0029D3,2017-08-07 16:12:00+03,397300
0029F9,2017-06-30 01:45:00+03,58600
002ACE,2017-08-10 20:36:00+03,42800
002AF1,2017-08-02 12:57:00+03,123000
002B46,2017-08-13 00:49:00+03,11300
002B8A,2017-07-09 17:03:00+03,122600
002B8F,2017-07-14 09:12:00+03,34000
002BB2,2017-08-10 21:39:00+03,28000
002BED,2017-08-02 20:40:00+03,52800
002C5A,2017-08-14 15:18:00+03,54800
002CC4,2017-07-09 13:17:00+03,40000
002D3A,2017-07-19 12:22:00+03,23200
002DC9,2017-08-08 09:35:00+03,54200
2.00E+15,2017-07-27 19:10:00+03,19600
002E3A,2017-07-29 02:10:00+03,393000
002EA0,2017-08-12 10:37:00+03,39200
002EA6,2017-07-30 03:59:00+03,13600
002EED,2017-07-30 12:19:00+03,133200
002F39,2017-07-19 17:14:00+03,136200
002F5F,2017-07-29 03:00:00+03,21600
002F96,2017-07-30 12:35:00+03,69400
002F9D,2017-07-03 12:59:00+03,25000
002FDC,2017-07-24 16:19:00+03,24400
002FE3,2017-08-05 21:28:00+03,123000
3096,2017-07-23 23:55:00+03,73200
00314B,2017-08-14 05:52:00+03,284400
0031D2,2017-08-15 17:27:00+03,24200
0031D9,2017-08-09 12:28:00+03,112000
3241,2017-07-12 08:04:00+03,12000
3270,2017-07-18 01:18:00+03,44800
3272,2017-07-21 17:22:00+03,66000
0032A3,2017-07-08 03:29:00+03,46300
3389,2017-07-15 15:19:00+03,122600
00338E,2017-07-10 01:02:00+03,55800
0033A2,2017-07-31 20:29:00+03,65900
00347F,2017-07-29 21:06:00+03,170000
0034BB,2017-07-03 02:44:00+03,48600
00355C,2017-07-12 08:20:00+03,70500
0035B5,2017-08-03 01:27:00+03,29600
0035C0,2017-07-10 14:31:00+03,102300
0035CC,2017-07-20 06:08:00+03,28800
0035EC,2017-08-05 19:38:00+03,52400
0035EF,2017-07-11 06:17:00+03,56600
3610,2017-07-12 00:52:00+03,203100
3623,2017-08-03 14:38:00+03,111600
00362F,2017-07-13 21:29:00+03,27400
3673,2017-07-09 04:49:00+03,60000
3699,2017-07-15 02:01:00+03,93900
0036FA,2017-07-13 22:12:00+03,133200
3743,2017-07-11 21:30:00+03,52100
00380F,2017-07-08 05:45:00+03,37200
0038C7,2017-07-31 09:39:00+03,124200
00391F,2017-07-30 00:46:00+03,294200
3936,2017-07-03 11:55:00+03,47200
00395B,2017-07-22 04:08:00+03,136500
3974,2017-07-28 13:55:00+03,246000
0039D4,2017-07-31 21:58:00+03,29600
003BC1,2017-07-03 23:37:00+03,43200
003C2F,2017-07-16 19:33:00+03,214100
003CF9,2017-07-16 14:10:00+03,10600
003D47,2017-07-15 21:46:00+03,21600
003D63,2017-08-12 02:17:00+03,36200
003D83,2017-08-15 17:06:00+03,36000
003D96,2017-08-15 04:18:00+03,65300
3.00E+25,2017-08-10 18:37:00+03,16400
003E4E,2017-07-24 01:45:00+03,92000
3.00E+84,2017-07-19 13:24:00+03,188000
003EB0,2017-07-05 11:25:00+03,16400
003EB8,2017-08-14 21:40:00+03,48500
003FA5,2017-08-10 20:19:00+03,6300
00409D,2017-08-14 11:26:00+03,93300
4.10E+07,2017-07-12 01:41:00+03,40900
4251,2017-07-15 17:53:00+03,31400
00427E,2017-08-06 15:43:00+03,132800
0042EF,2017-08-02 07:00:00+03,30800
00431A,2017-07-27 02:05:00+03,19600
4346,2017-07-06 09:46:00+03,270000
00434B,2017-08-12 12:44:00+03,26800
4364,2017-07-14 18:30:00+03,22000
4380,2017-07-06 12:41:00+03,61800
4382,2017-07-31 02:55:00+03,11600
00438B,2017-07-10 20:24:00+03,85000
4391,2017-08-12 04:29:00+03,28000
0043FB,2017-08-10 09:30:00+03,23200
4403,2017-08-15 03:44:00+03,94000
4428,2017-08-07 12:19:00+03,94300
4486,2017-07-02 07:21:00+03,70800
0044ED,2017-08-08 22:43:00+03,93900
0044FE,2017-07-29 07:15:00+03,69400
4554,2017-07-20 19:50:00+03,27900
4561,2017-07-22 00:07:00+03,19600
0045A7,2017-07-17 08:42:00+03,23600
0045DB,2017-07-09 02:33:00+03,119700
0045DE,2017-07-17 22:45:00+03,101200
4619,2017-08-09 15:48:00+03,96800
00462F,2017-07-30 07:10:00+03,57800
4637,2017-07-18 03:18:00+03,34000
4666,2017-08-14 10:45:00+03,53700
00467E,2017-07-13 20:33:00+03,72800
4690,2017-08-01 22:54:00+03,40600
0046B5,2017-08-13 05:46:00+03,85000
0046CE,2017-08-05 02:55:00+03,60100
00471D,2017-07-24 07:16:00+03,26800
4866,2017-08-12 06:47:00+03,31400
0048C4,2017-07-22 22:22:00+03,62000
00497A,2017-08-12 08:21:00+03,61800
4980,2017-07-18 09:32:00+03,204200
0049B5,2017-08-11 05:20:00+03,129700
0049CB,2017-08-12 18:14:00+03,56000
004A02,2017-07-22 04:19:00+03,55800
004A14,2017-08-04 07:59:00+03,28000
004A54,2017-07-03 08:13:00+03,15100
004A87,2017-07-02 11:05:00+03,29400
004A9F,2017-07-29 18:36:00+03,56000
004B38,2017-07-16 13:45:00+03,20000
004B5C,2017-07-17 17:28:00+03,23500
004B6A,2017-07-18 11:57:00+03,55800
004B72,2017-08-09 17:26:00+03,57600
004B7B,2017-07-25 07:15:00+03,111600
004B8E,2017-08-07 22:54:00+03,135600
004BC5,2017-07-03 02:59:00+03,66600
004C1C,2017-08-09 21:43:00+03,67600
004C21,2017-08-14 22:35:00+03,25600
004C3F,2017-07-12 05:10:00+03,69500
004C69,2017-08-02 14:40:00+03,62000
004C8E,2017-07-16 00:23:00+03,65600
004C90,2017-07-25 14:03:00+03,64800
004C98,2017-07-06 17:27:00+03,57600
004D0D,2017-07-07 17:57:00+03,111600
004DF7,2017-06-30 05:12:00+03,72300
4.00E+04,2017-08-05 08:34:00+03,93200
4.00E+44,2017-07-22 12:44:00+03,140000
004EC8,2017-07-24 03:42:00+03,132800
004EDA,2017-07-05 01:55:00+03,172700
004FC8,2017-07-23 05:47:00+03,58400
5069,2017-07-02 20:35:00+03,67600
00519C,2017-08-10 00:26:00+03,167000
0051D5,2017-07-25 22:48:00+03,38800
0051D8,2017-07-15 16:29:00+03,23600
0051DC,2017-08-15 04:10:00+03,269300
5355,2017-07-15 07:21:00+03,133100
00535D,2017-08-13 19:21:00+03,19800
5380,2017-07-18 15:12:00+03,14400
5492,2017-08-11 18:13:00+03,142400
00551A,2017-07-25 13:32:00+03,6400
5558,2017-06-27 03:02:00+03,28000
00556D,2017-07-25 14:08:00+03,68200
00558F,2017-08-09 19:38:00+03,28000
0055D7,2017-07-20 22:10:00+03,34000
5684,2017-07-18 15:48:00+03,58800
5696,2017-07-14 20:23:00+03,14000
0056B0,2017-07-03 00:57:00+03,28800
0056FA,2017-07-10 12:36:00+03,26800
5706,2017-08-05 03:22:00+03,57900
00571B,2017-07-20 04:40:00+03,468000
5769,2017-08-15 02:39:00+03,123600
00579F,2017-08-12 05:18:00+03,19600
0057D4,2017-07-28 11:45:00+03,206400
0057F8,2017-06-28 14:33:00+03,20200
00597A,2017-07-22 00:35:00+03,92800
0059AA,2017-07-19 14:47:00+03,6200
0059D4,2017-07-15 16:48:00+03,14400
5.90E+09,2017-07-10 16:38:00+03,69500
005A18,2017-07-29 10:27:00+03,134800
005A30,2017-08-14 14:48:00+03,26700
005AFA,2017-07-20 12:39:00+03,22600
005B3C,2017-07-28 23:48:00+03,67600
005BD6,2017-08-07 07:09:00+03,58000
005BFF,2017-08-11 21:11:00+03,45200
005C0B,2017-07-06 01:25:00+03,269600
005C0D,2017-08-02 12:08:00+03,88200
005C47,2017-07-26 04:40:00+03,28000
005C6C,2017-08-06 19:33:00+03,14400
005D11,2017-07-30 12:56:00+03,62000
005D5D,2017-08-14 15:08:00+03,53700
5.00E+40,2017-07-25 05:06:00+03,6800
005E4E,2017-08-14 11:43:00+03,43500
005EBE,2017-07-09 11:03:00+03,134400
005EC4,2017-07-17 10:31:00+03,21800
005F02,2017-07-12 04:51:00+03,23200
005F35,2017-07-28 19:44:00+03,68800
005FBD,2017-07-01 06:38:00+03,29400
00603D,2017-07-16 13:39:00+03,99200
6081,2017-07-19 01:19:00+03,90800
6084,2017-07-23 18:54:00+03,57600
0060D3,2017-07-05 18:28:00+03,52900
00610D,2017-07-05 01:49:00+03,103200
6132,2017-07-02 16:40:00+03,171100
00613D,2017-07-25 15:17:00+03,68800
6149,2017-07-21 00:07:00+03,37100
6151,2017-08-02 02:10:00+03,34300
6157,2017-07-12 02:03:00+03,103200
6170,2017-07-26 18:22:00+03,17800
0061B4,2017-07-03 13:17:00+03,43600
00625D,2017-08-02 12:22:00+03,112000
0062DB,2017-08-05 01:05:00+03,34000
6.20E+09,2017-07-11 14:33:00+03,42400
6306,2017-08-04 14:43:00+03,29800
00635C,2017-07-13 02:47:00+03,13600
0063B3,2017-08-10 18:53:00+03,69500
0063CA,2017-08-04 03:39:00+03,29400
6404,2017-07-04 19:21:00+03,184300
6485,2017-07-12 16:59:00+03,37900
6498,2017-08-13 12:44:00+03,100600
0064D1,2017-08-15 02:09:00+03,65300
0064DD,2017-07-20 22:15:00+03,67600
6.40E+04,2017-08-12 06:43:00+03,42800
0065DC,2017-08-12 10:44:00+03,19600
6603,2017-08-14 00:17:00+03,153300
6624,2017-08-11 03:39:00+03,99700
00662A,2017-07-30 07:06:00+03,38400
0066BE,2017-07-29 19:45:00+03,40800
6704,2017-08-14 10:44:00+03,65900
6713,2017-07-28 15:09:00+03,46800
00673C,2017-08-12 18:47:00+03,87100
6837,2017-07-22 19:23:00+03,131100
6885,2017-07-24 17:54:00+03,52000
6906,2017-07-30 13:46:00+03,339300
00697B,2017-07-30 08:24:00+03,220800
0069AE,2017-08-04 21:34:00+03,8200
006B01,2017-08-03 23:35:00+03,69600
006B2A,2017-07-28 07:06:00+03,49800
006B6D,2017-07-05 13:58:00+03,84000
006B99,2017-08-08 20:47:00+03,14800
006BA1,2017-07-10 15:35:00+03,12600
006BAA,2017-07-11 12:01:00+03,28800
006BFD,2017-07-13 17:51:00+03,199700
006C55,2017-07-14 07:05:00+03,62600
006C5C,2017-07-31 07:45:00+03,81900
006CBB,2017-08-14 17:54:00+03,73600
006CC4,2017-07-12 08:20:00+03,6000
006D1A,2017-07-25 11:32:00+03,78200
006D45,2017-07-22 11:23:00+03,24400
006D5C,2017-07-22 22:04:00+03,40000
006D91,2017-07-25 22:20:00+03,66400
006E4E,2017-08-07 10:25:00+03,398500
6.00E+64,2017-08-02 08:41:00+03,111600
006EEC,2017-07-22 01:41:00+03,62700
006F16,2017-08-05 11:00:00+03,28000
006F53,2017-08-14 19:28:00+03,16400
006F73,2017-08-05 00:35:00+03,28800
006FB9,2017-07-10 18:56:00+03,100600
006FBF,2017-07-30 03:49:00+03,21800
006FFF,2017-07-06 04:58:00+03,44000
00704E,2017-07-25 06:49:00+03,386300
7066,2017-07-20 04:37:00+03,46000
7085,2017-07-29 15:59:00+03,265800
0070BD,2017-07-11 08:32:00+03,115700
0070DF,2017-08-10 14:06:00+03,188000
0070F5,2017-06-30 22:05:00+03,62600
00711E,2017-07-30 03:58:00+03,20200
00717E,2017-07-01 09:26:00+03,34000
0071AE,2017-07-21 00:42:00+03,46400
0071C1,2017-08-09 10:52:00+03,6000
7225,2017-07-16 21:43:00+03,39500
7232,2017-07-28 06:12:00+03,72400
7247,2017-07-27 06:42:00+03,167500
00724C,2017-07-22 01:46:00+03,114200
7264,2017-08-10 22:11:00+03,18000
0072A0,2017-07-07 17:26:00+03,67600
0072B1,2017-07-29 02:54:00+03,32700
7322,2017-08-03 11:44:00+03,40800
00737B,2017-07-10 08:58:00+03,75600
7382,2017-07-06 21:29:00+03,26200
0073C5,2017-07-07 19:14:00+03,47400
0073CF,2017-08-08 07:59:00+03,31000
0073D3,2017-07-20 05:51:00+03,131600
7407,2017-08-02 04:09:00+03,66000
00742A,2017-07-31 08:40:00+03,48800
00742E,2017-07-22 18:09:00+03,117200
7477,2017-07-12 02:35:00+03,46000
0074B9,2017-08-11 01:09:00+03,85600
0074DE,2017-07-09 23:39:00+03,40400
00752A,2017-08-10 02:55:00+03,283100
7602,2017-07-04 02:14:00+03,284400
7621,2017-07-16 16:55:00+03,56000
7624,2017-08-06 19:24:00+03,31600
7638,2017-07-28 03:57:00+03,43500
7649,2017-07-31 21:39:00+03,39300
0076CE,2017-07-20 05:37:00+03,12600
00770C,2017-08-14 20:51:00+03,19600
7784,2017-08-04 03:12:00+03,37900
7.70E+02,2017-07-14 15:19:00+03,6000
0077FC,2017-08-02 17:23:00+03,31600
00794E,2017-07-05 18:37:00+03,13600
7989,2017-08-12 13:32:00+03,26000
0079F6,2017-07-08 02:16:00+03,28000
007A31,2017-08-05 23:41:00+03,62000
007A53,2017-07-07 22:11:00+03,112400
007A89,2017-07-14 18:46:00+03,122600
007AD1,2017-07-08 13:17:00+03,36700
007B9B,2017-07-06 20:14:00+03,24200
007BE6,2017-07-13 14:21:00+03,56900
007C00,2017-07-26 21:34:00+03,52900
007C0D,2017-07-13 12:41:00+03,86300
007C11,2017-08-05 14:04:00+03,189800
007C4E,2017-08-10 10:28:00+03,265600
007C7D,2017-07-09 12:57:00+03,77600
007CA7,2017-07-29 03:51:00+03,7400
007DBF,2017-07-28 07:54:00+03,40800
007DE7,2017-07-10 20:28:00+03,46400
007DF3,2017-08-04 06:14:00+03,246000
7.00E+54,2017-07-28 16:30:00+03,49100
7.00E+78,2017-07-05 21:43:00+03,75300
007EE9,2017-07-31 14:36:00+03,55800
007F37,2017-07-29 10:24:00+03,280500
007F74,2017-07-19 11:01:00+03,23400
007F94,2017-08-13 07:02:00+03,66600
007FA8,2017-07-23 20:55:00+03,47200
007FD3,2017-08-08 11:10:00+03,67600
007FF3,2017-07-14 14:46:00+03,100700
007FFF,2017-07-13 05:32:00+03,56600
0080AB,2017-07-10 03:26:00+03,56900
0080FD,2017-07-07 07:34:00+03,36200
8130,2017-08-07 11:49:00+03,88800
00813F,2017-07-24 20:47:00+03,58400
00817F,2017-08-14 08:58:00+03,61900
8182,2017-07-14 02:09:00+03,31600
8191,2017-08-08 11:38:00+03,73300
0081C5,2017-07-13 04:37:00+03,27700
0081CA,2017-08-12 15:44:00+03,114700
8205,2017-08-15 07:56:00+03,36200
00823B,2017-07-15 21:09:00+03,26200
8279,2017-07-03 14:10:00+03,52900
0082C6,2017-07-12 17:56:00+03,76700
0082F8,2017-07-29 22:05:00+03,61800
00840C,2017-07-28 05:38:00+03,70700
8417,2017-07-03 05:32:00+03,55800
8441,2017-08-03 02:04:00+03,14000
8461,2017-07-01 09:58:00+03,52000
8462,2017-07-12 15:53:00+03,23200
00849B,2017-08-04 00:28:00+03,89700
0084AB,2017-07-24 18:01:00+03,59900
0084D4,2017-07-20 12:17:00+03,425500
8577,2017-07-26 21:06:00+03,40300
0085C7,2017-07-05 01:51:00+03,46400
0085DF,2017-07-05 06:24:00+03,168000
0085F1,2017-07-20 02:18:00+03,48700
0085F5,2017-07-04 02:55:00+03,36200
00860F,2017-07-28 14:16:00+03,31600
8612,2017-08-03 22:07:00+03,30400
0086F0,2017-08-10 11:49:00+03,265200
8712,2017-07-23 20:34:00+03,51600
8738,2017-07-15 14:53:00+03,23200
00878B,2017-07-26 18:10:00+03,64400
8791,2017-07-26 07:27:00+03,6000
0087C1,2017-06-26 13:43:00+03,28000
0087F3,2017-07-28 09:29:00+03,58400
0087F5,2017-08-04 12:44:00+03,122700
8805,2017-07-20 18:53:00+03,38800
8822,2017-06-29 21:33:00+03,64500
00885A,2017-08-01 07:21:00+03,55800
0088C7,2017-07-03 04:29:00+03,16400
8927,2017-08-12 16:55:00+03,117600
00893C,2017-07-08 00:18:00+03,32800
8978,2017-07-15 08:56:00+03,66600
0089F8,2017-07-16 19:47:00+03,257600
008A31,2017-06-28 12:12:00+03,56000
008A35,2017-08-15 08:55:00+03,38200
008A75,2017-08-06 12:43:00+03,90300
008A80,2017-08-11 05:55:00+03,90200
008B02,2017-07-16 16:54:00+03,52000
008B2D,2017-07-16 16:11:00+03,14000
008B45,2017-08-06 07:05:00+03,92800
008B47,2017-07-11 17:50:00+03,26000
008B53,2017-07-28 15:27:00+03,277800
008B8B,2017-08-07 14:42:00+03,266400
008BBC,2017-07-22 04:09:00+03,139300
008C12,2017-07-02 04:51:00+03,59200
008C21,2017-07-02 14:05:00+03,116400
008C35,2017-08-13 18:16:00+03,14000
008CAC,2017-07-07 04:10:00+03,75300
008CB6,2017-07-10 04:10:00+03,39500
008D61,2017-07-10 20:38:00+03,115600
008D90,2017-08-04 20:02:00+03,122800
008DB1,2017-07-27 05:48:00+03,88600
008DC5,2017-07-10 15:42:00+03,32700
008E4E,2017-07-03 01:38:00+03,531300
8.00E+62,2017-07-03 14:36:00+03,13400
008ED3,2017-07-13 08:09:00+03,46400
008F21,2017-08-03 06:32:00+03,40600
008F67,2017-08-07 12:15:00+03,52800
008FD0,2017-08-11 10:33:00+03,52900
008FD2,2017-07-14 04:22:00+03,37900
00903C,2017-07-04 11:38:00+03,22100
9063,2017-07-09 23:33:00+03,542300
9091,2017-07-16 11:48:00+03,46400
9099,2017-07-17 14:09:00+03,106200
0090A5,2017-07-11 05:14:00+03,167200
0090C4,2017-07-30 11:21:00+03,104800
0090CF,2017-07-22 04:33:00+03,86300
0090DA,2017-06-29 01:11:00+03,125400
0090FE,2017-07-14 09:34:00+03,25600
0091C5,2017-07-29 19:49:00+03,46000
9228,2017-08-02 00:12:00+03,6000
00923E,2017-07-28 17:57:00+03,48800
0092B6,2017-07-15 08:44:00+03,36200
00934F,2017-07-23 06:18:00+03,38800
00937F,2017-07-02 06:24:00+03,95600
0093B2,2017-07-29 03:16:00+03,20800
0093C5,2017-08-14 00:38:00+03,65900
9.30E+03,2017-07-31 02:58:00+03,32800
9431,2017-07-30 03:35:00+03,23200
9434,2017-08-13 11:42:00+03,41900
0094C4,2017-08-06 14:37:00+03,372500
00955F,2017-07-31 20:41:00+03,63200
0095A3,2017-08-12 01:01:00+03,132800
9612,2017-07-18 00:05:00+03,40800
9624,2017-07-17 23:09:00+03,131000
00967F,2017-07-24 22:36:00+03,123000
9.60E+04,2017-07-05 19:47:00+03,174900
9709,2017-07-25 05:51:00+03,155600
00970E,2017-08-15 07:59:00+03,395100
00970F,2017-07-15 18:16:00+03,56000
00973C,2017-08-06 10:16:00+03,147700
00975D,2017-08-01 13:30:00+03,58700
0097BD,2017-07-08 22:07:00+03,49500
9814,2017-07-21 05:45:00+03,139400
00982B,2017-07-15 10:45:00+03,146400
9852,2017-08-06 13:54:00+03,76600
9884,2017-07-06 06:26:00+03,44600
0098A2,2017-07-28 03:13:00+03,12700
0098BD,2017-08-13 11:26:00+03,32700
9954,2017-08-04 22:06:00+03,56000
0099A2,2017-07-18 08:02:00+03,26200
0099A9,2017-07-18 05:34:00+03,28800
009A5B,2017-08-05 16:21:00+03,35200
009A73,2017-07-25 09:29:00+03,139400
009AAD,2017-08-12 16:52:00+03,54500
009AB8,2017-07-23 12:05:00+03,75300
009AE0,2017-08-10 16:36:00+03,29400
009AE2,2017-07-14 04:49:00+03,61700
009B09,2017-07-08 22:54:00+03,135200
009BC1,2017-08-10 12:13:00+03,364600
009BEA,2017-08-12 15:42:00+03,52400
009C62,2017-07-02 11:39:00+03,74300
009C73,2017-08-08 22:03:00+03,24400
009C80,2017-07-11 08:01:00+03,79200
009C82,2017-07-29 03:45:00+03,6000
009CF6,2017-08-07 23:50:00+03,92000
009D9C,2017-07-02 02:44:00+03,22200
009DD6,2017-07-09 11:36:00+03,81600
009E4D,2017-06-29 19:44:00+03,117600
009EF9,2017-07-14 19:32:00+03,89100
009EFC,2017-07-11 05:29:00+03,28800
009FC6,2017-07-07 19:15:00+03,210000
009FD3,2017-08-14 07:15:00+03,10800
00A027,2017-07-07 19:53:00+03,64400
00A036,2017-07-14 17:14:00+03,64900
00A099,2017-08-10 15:26:00+03,39300
00A11C,2017-07-24 21:18:00+03,132800
00A164,2017-08-13 16:21:00+03,46300
00A165,2017-07-16 02:38:00+03,16400
00A179,2017-07-18 08:30:00+03,36200
00A210,2017-08-10 08:10:00+03,234200
00A251,2017-08-06 01:41:00+03,52700
00A27A,2017-07-13 20:39:00+03,23200
00A296,2017-07-04 19:03:00+03,111700
00A297,2017-07-25 04:25:00+03,24800
00A2B7,2017-07-11 23:58:00+03,265700
00A2B8,2017-07-06 10:23:00+03,40800
00A2BC,2017-08-02 02:40:00+03,66700
